,area_code,state,market,market_size,profit,gross_profit,sales,cogs,total_expenses,marketing,inventory,budget_profit,budget_cogs,budget_gross_profit,budget_sales,product_id,sale_date,product_type,product_description,product_category,gross_margin,sales_to_cogs_ratio,profit_margin_percentage,marketing_to_sales_ratio,gross_profit_to_inventory_ratio,budget_actual_profit_diff,expenses_to_sales_ratio,period,dow,hour,date,year
0,203,Connecticut,East,Small Market,107.0,176.0,292.0,116.0,69.0,38.0,962.0,110.0,110.0,160.0,270.0,2,2010-04-01,Coffee,Columbian,Regular,0.6,2.5172413793103448,36.64383561643836,0.13013698630136986,0.18295218295218296,-3.0,0.2363013698630137,2010-04,Thursday,12 AM,2010-04-01,2010
1,203,Connecticut,East,Small Market,75.0,135.0,225.0,90.0,60.0,29.0,1148.0,90.0,80.0,130.0,210.0,2,2010-07-01,Coffee,Columbian,Regular,0.6,2.5,33.33333333333333,0.1288888888888889,0.11759581881533102,-15.0,0.26666666666666666,2010-07,Thursday,12 AM,2010-07-01,2010
2,203,Connecticut,East,Small Market,122.0,195.0,325.0,130.0,73.0,42.0,1134.0,130.0,110.0,180.0,290.0,2,2010-11-01,Coffee,Columbian,Regular,0.6,2.5,37.53846153846154,0.12923076923076923,0.17195767195767195,-8.0,0.2246153846153846,2010-11,Monday,12 AM,2010-11-01,2010
3,203,Connecticut,East,Small Market,105.0,174.0,289.0,115.0,69.0,37.0,1166.0,110.0,100.0,160.0,260.0,2,2010-12-01,Coffee,Columbian,Regular,0.6,2.5130434782608697,36.332179930795846,0.12802768166089964,0.14922813036020582,-5.0,0.23875432525951557,2010-12,Wednesday,12 AM,2010-12-01,2010
4,203,Connecticut,East,Small Market,104.0,135.0,223.0,90.0,56.0,29.0,1148.0,90.0,80.0,130.0,210.0,2,2011-07-01,Coffee,Columbian,Regular,0.61,2.477777777777778,46.63677130044843,0.13004484304932734,0.11759581881533102,14.0,0.25112107623318386,2011-07,Friday,12 AM,2011-07-01,2011
5,203,Connecticut,East,Small Market,104.0,135.0,223.0,90.0,56.0,29.0,1139.0,90.0,80.0,130.0,210.0,2,2011-08-01,Coffee,Columbian,Regular,0.61,2.477777777777778,46.63677130044843,0.13004484304932734,0.11852502194907814,14.0,0.25112107623318386,2011-08,Monday,12 AM,2011-08-01,2011
6,203,Connecticut,East,Small Market,135.0,155.0,275.0,103.0,64.0,33.0,1130.0,110.0,90.0,150.0,240.0,2,2011-09-01,Coffee,Columbian,Regular,0.56,2.6699029126213594,49.09090909090909,0.12,0.13716814159292035,25.0,0.23272727272727273,2011-09,Thursday,12 AM,2011-09-01,2011
7,203,Connecticut,East,Small Market,171.0,188.0,334.0,125.0,73.0,41.0,1119.0,130.0,100.0,160.0,260.0,2,2011-10-01,Coffee,Columbian,Regular,0.56,2.672,51.19760479041916,0.12275449101796407,0.1680071492403932,41.0,0.218562874251497,2011-10,Saturday,12 AM,2011-10-01,2011
8,203,Connecticut,East,Small Market,181.0,195.0,346.0,130.0,73.0,42.0,1134.0,130.0,110.0,180.0,290.0,2,2011-11-01,Coffee,Columbian,Regular,0.56,2.6615384615384614,52.312138728323696,0.12138728323699421,0.17195767195767195,51.0,0.21098265895953758,2011-11,Tuesday,12 AM,2011-11-01,2011
9,203,Connecticut,East,Small Market,15.0,31.0,51.0,20.0,16.0,5.0,804.0,20.0,20.0,30.0,50.0,13,2010-06-01,Tea,Green Tea,Regular,0.61,2.55,29.411764705882355,0.09803921568627451,0.03855721393034826,-5.0,0.3137254901960784,2010-06,Tuesday,12 AM,2010-06-01,2010
10,203,Connecticut,East,Small Market,33.0,54.0,90.0,36.0,21.0,10.0,809.0,40.0,30.0,60.0,90.0,13,2010-11-01,Tea,Green Tea,Regular,0.6,2.5,36.666666666666664,0.1111111111111111,0.06674907292954264,-7.0,0.23333333333333334,2010-11,Monday,12 AM,2010-11-01,2010
11,203,Connecticut,East,Small Market,17.0,28.0,47.0,19.0,15.0,5.0,811.0,20.0,20.0,30.0,50.0,13,2011-08-01,Tea,Green Tea,Regular,0.6,2.473684210526316,36.17021276595745,0.10638297872340426,0.0345252774352651,-3.0,0.3191489361702128,2011-08,Monday,12 AM,2011-08-01,2011
12,203,Connecticut,East,Small Market,27.0,36.0,64.0,24.0,18.0,6.0,806.0,40.0,20.0,40.0,60.0,13,2011-10-01,Tea,Green Tea,Regular,0.56,2.6666666666666665,42.1875,0.09375,0.04466501240694789,-13.0,0.28125,2011-10,Saturday,12 AM,2011-10-01,2011
13,203,Connecticut,East,Small Market,49.0,54.0,96.0,36.0,21.0,10.0,809.0,40.0,30.0,60.0,90.0,13,2011-11-01,Tea,Green Tea,Regular,0.56,2.6666666666666665,51.041666666666664,0.10416666666666667,0.06674907292954264,9.0,0.21875,2011-11,Tuesday,12 AM,2011-11-01,2011
